Lyrics,
"[Letra de ""Loco""]
[Refrán]
Ey, cholo, yo no me equivoco
Si monto un reggaetón, ese culo lo reboto-boto
Ya préndela, güey, ya aquí traigo una de ley
Que lo poco que sé me lo enseñó el sensei
Ey, cholo, yo no me equivoco
Si monto un reggaetón, ese culo lo reboto-boto
Ya préndela, güey, ya aquí traigo una de ley
Que lo poco que sé me lo enseñó el sensei
[Verso]
Mamacita, nuevamente déjame probar un poco
Lе caigo de repentе, yo soy el que la sofoco
Mi suegra no me quiso, francamente, yo tampoco
A la doña le dijeron que andaba fumando fogo
Y aunque ya no somos nada, pero si quiere, la toco
Sale muy de zapatillas con su vestidito corto
Dicen que yo nunca cambio, que traigo los ojos rojos
Saco coche bomba y sale el humo por el quemacoco'
[Pre-Coro]
Y no, y no, no me digas que no
Si yo sé bien, sé bien que te gusto
Y no, y no, no me digas que no
Si yo sé bien, sé bien que te gusto
[Coro]
Me dijo tu amiga que tienes el cora roto
Desde que ando libre me la paso bien loco
Melday, no necesito tus polvo'
Me prestaron otros y otra vez ando bien coco
Me dijo tu amiga que tienes el cora roto
Desde que ando libre me la paso bien loco
Melday, no necesito tus polvo'
Me prestaron otros y otra vez ando bien coco
[Post-Coro]
Si me llamas, ya sabes que te robo
Como siempre, ya sabe' que estoy solo
Si me llama', ya sabes que te robo
Como siempre, ya sabe' que estoy solo
[Coro]
Me dijo tu amiga que tienes el cora roto
Desde que ando libre me la paso bien loco
Melday, no necesito tus polvo'
Me prestaron otros y otra vez ando bien coco
Me dijo tu amiga que tienes el cora roto
Desde que ando libre me la paso bien loco
Melday, no necesito tus polvo'
Me prestaron otros y otra vez ando bien coco
[Post-Coro]
Si me llamas, ya sabes que te robo
Como siempre, ya sabe' que estoy solo
Si me llama', ya sabes que te robo
Como siempre, ya sabe' que estoy solo
[Outro]
(Ya sabes que estoy solo)
(Me dijo tu amiga que tienes el cora roto)
(Desde que ando libre me la paso bien loco)
(Melday, no necesito tus polvo')
(Me prestaron otros y otra vez ando bien coco)
(Polvo')
(Me prestaron otros y otra vez ando bien coco)",
"[Intro]
Ooh
, yeah
Ooh
, 
yeah
[Verse 1]
I can feel it
Girl, pick up your phone, I can't believe it
I can feel my spirit slowly leaving
I can't see myself and I'm not breathing (Ah)
I'm not breathing (I'm not breathing)
Slowly bleeding (Bleeding)
I wish that I told you all my feelings
 (Feelings)
I hope that I live life for a reason
 (Reason)
But at least you'll play this song
When I'm gone
[Chorus]
And I hope you cry for me like I cry for you
Every night for you, take it easy on me, baby
'Cause I tried with you, saw my life with you
End of time with you, now we're strangers
And I hope that you still cry for me like I cry for you
Every night for you, I've been living with this lie
Now I can't hide the truth, I can't hide the truth
Girl, I'll cry for you
Girl, I'll cry for you, ooh, yeah
[Verse 2]
I can't see clear
I wash my fears with whisky tears
I disappear
Don't interfere, the end is near
The crowd'll scream
I block my ears to stop the cheers
'Cause the stage took a toll
Been faded on the floor
In this penthouse prison, I'm alone
[Chorus]
And I hope you cry for me like I cry for you
Every night for you, take it easy on me, baby
'Cause I tried with you, saw my life with you
End of time with you, now we're strangers
And I hope that you still cry for me like I cry for you
Every night for you, I've been living with this lie
Now I can't hide the truth, I can't hide the truth (Hide the truth)
Girl, I'll cry for you
Girl, I'll cry for you, ooh, yeah
[Bridge]
Every time I hit the road, it takes a little piece of me
Kills me slowly (Slowly)
When I needed you the most, you always gave me sympathy
Now you're over me (Over me)
Now you're better on your own, it ain't a fucking mystery
You've been showing me
Now I've been burning up my home, baby
I've been burning up my home
[Chorus]
And I hope you cry for me like I cry for you
Every night for you, take it easy on me, baby
'Cause I tried with you, saw my life with you
End of time with you, now we're strangers
And I hope that you still cry for me like I cry for you
Every night for you, I've been living with this lie
Now I can't hide the truth, I can't hide the truth
Girl, I'll cry for you
Girl, I'll cry for you, ooh, yeah",
"[Letra de ""DtMF""]
[Intro]
Eh-eh, eh-eh, eh-eh, eh-eh
[Verso 1]
Otro sunset bonito que veo en San Juan
Disfrutando de todas esas cosas que extrañan los que se van
Disfrutando de noche' de esas que ya no se dan
Que ya no se dan
Pero queriendo volver a la última vez
Que a los ojos te miré
Y contarte las cosas que no te conté (Te parece' a mi crush, jaja)
Y tirarte la' foto' que no te tiré (Acho, jura'o te ves bien linda, déjame tirarte una foto)
Ey, tengo el pecho pela'o, me dio una matá'
El corazón dándome patá'
Dime, baby, ¿dónde tú está'?
Pa' llegarle con RoRo, Julito, Krystal
Roy, Edgar, Seba, Óscar, Darnell y Big Jay, tocando batá
Hoy la calle la dejamo' 'esbaratá
Y sería cabrón que tú me toque' el güiro
Yo veo tu nombre y me salen suspiro'
No sé si son petardo' o si son tiro'
Mi blanquita, perico, mi kilo
Yo estoy en PR, tranquilo, pero
[Estribillo]
Debí tirar más fotos de cuando te tuve
Debí darte más beso' y abrazo' las vece' que pude
Ey, ojalá que los mío' nunca se muden
Y si hoy me emborracho, pues que me ayuden
Debí tirar más foto' de cuando te tuve
Debí darte más beso' y abrazo' las veces que pude
Ojalá que los mío' nunca se muden
Y si hoy me emborracho, pues que me ayuden
[Verso 2]
Ey, hoy voy a estar con abuelo to'l día, jugando dominó
Si me pregunta si aún pienso en ti, yo le digo que no
Que mi estadía cerquita de ti ya se terminó
Ya se terminó, ey
Que prendan la' máquina', voy pa' Santurce
Aquí todavía se da caña
Chequéate las babie', diablo, mami, qué dulce
Hoy yo quiero beber, beber, beber
Y hablar mierda hasta que me expulsen
'Toy bien loco (
'Toy bien loco
), 'toy bien loco (
'Toy bien loco
)
Cabrón, guía tú, que hasta caminando yo estoy que choco
'Toy bien loco (
'Toy bien loco
), 'toy bien loco (
'Toy bien loco
)
Vamo' a disfrutar, que nunca se sabe si nos queda poco
Debí tirar más f—
[Interludio]
Gente, lo' quiero con cojone', los amo
Gracias por estar aquí, de verdad
Para mí e' bien importante que estén aquí
Cada uno de ustede' significa mucho para mí
Así que, vamo' pa' la foto, vengan pa'cá
Métase to'l mundo, to'l corillo, vamo'
Zumba
[Verso 3]
Ya Bernie tiene el nene y Jan la nena'
Ya no estamo' pa' la movie' y las cadena'
'Tamos pa' las cosa' que valgan la pena
Ey, pa'l perreo, la salsa, la bomba y la plena
Chequéate la mía cómo es que suena
[Outro]
Debí tirar más fotos de cuando te tuve
Debí darte más besos y abrazo' las veces que pude
Ojalá que los mío' nunca se muden
Y que tú me envíe' más nude'
Y si hoy me emborracho, que Beno me ayude",
"All I ever wanted was a Black Grand National
- bein′ rational, give 'em what they ask for
chorus
There′s not enough (ay)
Few solid - left, but it's not enough
Few - that'll really step, but it′s not enough
Say you bigger than myself, but it′s not enough (huh)
I get on they -, yeah, somebody gotta do it
I make 'em - mad, yeah, somebody gotta do it
I take a G-pass, yeah, watch a - do it (huh)
We survived outside, all from the music, -, what?
verse
They like, ""What he on?""
It′s the Alpha and Omega, -, welcome home
This is not a song
This a revelation, ""How to get a - gone""
You need your man, baby, I don't wanna slam, baby
Pay your bill and make you feel protected like I can, baby
Teach you somethin′ if you need correction, that's the plan, baby
Don′t put your life in these weird - hands, baby (wop)
chorus
There's not enough (ay)
Few solid - left, but it's not enough
Few - that′ll really step, but it′s not enough
Say you bigger than myself, but it's not enough (huh)
I get on they -, yeah, somebody gotta do it
I make ′em - mad, yeah, somebody gotta do it
I take a G-pass, yeah, watch a - do it (huh)
We survived outside, all from the music, -, what?
verse
Hey, turn this TV off
Ain't with my type activities? Then don′t you get involved
Hey, what, huh, how many - I seen? Seen 'em all
Take a rest or take a trip, you know I′m trippin' for my dawg
Who you with? Couple sergeants and lieutenants for the get-back
This revolution been televised, I fell through with the knick-knacks
Hey, young -, get your chili up, yeah, I meant that
Hey, blackout if they act out, yeah, I did that
verse
Hey, what's up, dawg?
I hate a - that′s hatin′ on a - and they both -
I hate a - hatin' on ′em - and they both broke
If you ain't comin′ for no chili, what you come for?
- feel like he entitled 'cause he knew me since a kid
-, I cut my granny off, if she won′t see it how I see it
Hm, got a big mouth, but he lack big ideas
Send him to the moon, that's just how I feel yellin'
chorus
There′s not enough (ay)
Few solid - left, but it′s not enough
Few - that'll really step, but it′s not enough
Say you bigger than myself, but it's not enough
bridge
Huh, huh, huh
Hey, hey (Mustard on the beat, -)
hook
Mustard
- actin′ bad, but somebody gotta do it
Got my foot up on the gas, but somebody gotta do it
Huh, turn this TV off, turn this TV off
Huh, turn this TV off, turn this TV off
Huh, turn this TV off, turn this TV off
Huh, turn this TV off, turn this TV off
verse
Ain't no other king in this rap thing, they siblings
Nothin′ but my children, one shot, they disappearin'
I'm in a city where the flag be gettin′ thrown like it was
Pass interference, padlock around the buildin′
Crash, pullin' up in a marked truck just to play freeze tag
With a bone to pick, like it was sea bass
So when I made it out, I made about 50K from a show
Tryna show - the ropes before they hung from a rope
verse
I′m prophetic, they only talk about it, I get it
Only good for savin' face, seen the cosmetics
How many heads I gotta take to level my aesthetics?
Hurry up and get your muscle up, we out to plyometric
- ran up out of luck soon as I up the highest metric
The city just made it sweet, you could die, I bet it
They mouth get full of deceit, let these cowards tell it
Walk in New Orleans with the etiquette of LA, yellin′
hook
Mustard (oh, man)
- actin' bad, but somebody gotta do it
Got my foot up on the gas, but somebody gotta do it
Huh, turn this TV off, turn this TV off
Huh, turn this TV off, turn this TV off
Huh, turn this TV off, turn this TV off
Huh, turn this TV off, turn this TV off
outro
- gets crazy, scary, spooky, hilarious
Crazy, scary, spooky, hilarious
- gets crazy, scary, spooky, hilarious
Crazy, scary, spooky, hilarious
- gets crazy, scary, spooky, hilarious
Crazy, scary, spooky, hilarious
- gets crazy, scary, spooky, hilarious
Crazy, scary, spooky, hilarious",4
"[Intro: Gabito Ballesteros]
Turn it up a little more
[Verse 1: Gabito Ballesteros & 
Tito Double P
]
Seven days have passed, and it weighs on me that you're gone
That you won't come back, and in the end, to hell with it
It's just me and this fucking anxiety
This fucking anxiety
Thirty missed calls and a ""Where are you?""
How am I supposed to explain that I got lost in craziness?
The girls, the homies, to kill this anxiety?
Fucking anxiety
[Chorus: Gabito Ballesteros & 
Tito Double P
]
Tell me what's wrong with you
In the end, you don't even know what you want
To forget you, I made love with others
I don't even mind spending all this cash anymorе, watch out
Tell me what's wrong with you
We sworе love to each other forever
Stop pretending you don't love me
'Cause I can see in your eyes that you still do
Do you get it? Do you get it?
[Interlude: Tito Double P & 
Gabito Ballesteros
]
Hahaha
But do you get it or not?
Tito Double P, ay!
Ayo
That's how your buddy Gabito sounds, man
My little one
On his little motorcycle
Ooh!
[Verse 2: Gabito Ballesteros]
Seven days have passed, and now I accept that you're gone
That I'm gonna forget you and alcohol tastes bad
I already swore for my own good that I won't look at you again
I won't look at you again
[Chorus: Tito Double P & 
Gabito Ballesteros
]
Tell me what's wrong with you
In the end, you don't even know what you want
To forget you, I made love with others
I don't even mind spending all this cash anymore, watch out
Not even you understand yourself
Where did that forever love go?
Stop pretending you don't love me
'Cause I can see in your eyes that you do, understand that, understand that
[Instrumental Outro]",
"If this world were mine
Hey, Roman numeral seven, bae, drop it like it's hot
If this world was mine, I'd take your dreams and make 'em multiply
If this world was mine, I'd take your enemies in front of God
Introduce 'em to that light, hit them strictly with that fire
Fah-fah, fah-fah-fah, fah-fah, fah
Hey, Roman numeral seven, bae, drop it like it's hot
If this world was mine, I'd take your dreams and make 'em multiply
If this world was mine, I'd take your enemies in front of God
Introduce 'em to that light, hit them strictly with that fire
It's a vibe, do your dance, let 'em watch
She a fan, he a flop, they just wanna kumbaya, nah
In this world, concrete flowers grow
Heartache, she only doin' what she know
Weekends, get it poppin' on the low
Better days comin' for sure (if this world were)
If it was up to me
I wouldn't give these nobodies no sympathy
I'd take away the pain, I'd give you everything
I just wanna see you win, wanna see (if this world were mine)
It go in (when you), out (ride it), do it real slow (slide)
Baby, you a star, strike, pose (right)
When I'm (when you), with you (with me), everything goes (slow)
Come and (put that), put that (on my), on my (titi), soul (soul)
'Rari (red), crown (stack), wrist (stay), froze (really)
Drip (tell me), pound (if you), on the way home (love me)
In this world, concrete flowers grow
Heartache, she only doin' what she know
Weekends, get it poppin' on the low
Better days comin' for sure (if this world were)
If it was up to me
I wouldn't give these nobodies no sympathy
I'd take away the pain, I'd give you everything
I just wanna see you win, wanna see (if this world were mine)
I can't lie, I trust you, I love you, I won't waste your time
I turn it off just so I can turn you on
I'ma make you say it loud
I'm not even trippin', I won't stress you out
I might even settle down for you, I'ma show you I'm a pro
I'ma take my take my time and turn it off
Just so I can turn you on, baby
Weekends, get it poppin' on the low
Better days comin' for sure
I know you'll come
I know you're comin' for
(Anything)
(If this world were mine)",6
"[Intro: Kendrick Lamar]
God knows
I am reincarnated
I was stargazin'
Life goes on, I need all my babies (Gyah, gyah)
[Verse 1: Kendrick Lamar & 
Debbie Deb
]
Woke up lookin' for the broccoli
High-key, keep a horn on me, that Kamasi
IP, ownership, the blueprint is by me
Mr. Get Off, I get off and mop feet
When I hear music, it makes me dance
You got the music, now is your chance
A yee nigga couldn't try me in the tri-state
Buddy pass, bet I get him splashed 'til he hydrated
Bounce out, know he spook town, eyes dilated
I got the money and the power both gyratin'
[Chorus: Kendrick Lamar]
I feel good, get the fuck out my face
Look good, but shе don't got no taste
I walk in, walked out with the safе
Mando, let me know what the play
[Verse 2: Kendrick Lamar]
What the fuck?
I got hits, I got bucks, I got new paper cuts
I got friends, I got foes, but they all sitting ducks
Hit his turf and get crackin', double back like a deluxe
Fifty deep, but it ain't deep enough
Fuck a plea, there he go, beat him up
Fallin' from a money tree
 
and it grow throughout the months
Spit a loogie at the camera, speed off, yeah, it's us
[Chorus: Kendrick Lamar]
I feel good, get the fuck out my face
Look good, but she don't got no taste
I walk in, walked out with the safe
Mando, let me know what the play
[Post-Chorus: Kendrick Lamar]
Squabble up, squabble up
Squabble up, squabble up
Squabble up (Mm, mm), squabble up (Mm, mm)
Squabble up (Mm, mm), squabble up
[Bridge: Kendrick Lamar]
Hol' up (
Hol' up
)
Where you from? (
Where you from?
)
Bye, bitch (
Bye, bitch
)
I'm finna go dumb (
Finna go dumb
)
Sideways (
Sideways
)
Bunk skunk (
Bunk skunk
)
Fever (
Fever
)
I'm on one (
I'm on one
)
[Verse 3: Kendrick Lamar]
Thunk, thunk, thunk, thunk, thunk, baby rockin' it
Quid pro quo, what you want? 'Cause I'm watchin' it
Work on the floor, let me know if you clockin' it
Brodie won't go, but I know that he poppin' it
It was woof tickets on sale 'til I silenced it
Pipe down, young, these some whole other politics
Bitch with him and some bitch in him, that's a lot of bitch
Don't hit him, he got kids with him, my apologies
Ghetto child, it was Blacky Milds with the Smirnoff
Yeehaw, we outside, whoadie 'bout to kill him off
Blaps on blaps, it's a fact, this a brick of raw
Tell me why the fuck you niggas rap if it's fictional?
Tell me why the fuck you niggas fed if you criminal?
""Ayy, Dot, can I get a drop?"" I'm like, ""Nigga, nah""
Ace boon coon from the Westside to Senegal
It's a full moon, let the wolves out, I been a dog
 (Ah)
[Chorus: Kendrick Lamar]
I feel good, get the fuck out my face
Look good, but she don't got no taste
I walk in, walked out with the safe
Mando, let me know what the play
[Post-Chorus: Kendrick Lamar]
Squabble up, squabble up
Squabble up, squabble up
Squabble up (Mm, mm), squabble up (Mm, mm)
Squabble up (Mm, mm), squabble up",
"[Intro]
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Ooh, no, ooh, no, shit
[Verse]
I fell asleep in the tub, I was met with paralysis
My foot hit the faucet, water started flowing in
Couldn't scream for help, I just slowly felt the pressure hit
Moving one toe was the only form of motion left
Can't breathe for air, can't breathe
Trying to remember everything that my preacher said
Tryna right my wrongs, my rеgrets filling up my head
All the timеs I dodged death, this can't be the way it ends, no
[Pre-Chorus]
Figure in the corner I can't quite see (Quite see)
I just know the shadow's staring at me
It gets closer, it gets closer, it gets closer now
Figure in the corner laughing at me (At me)
Water fill my lungs, vision blurry
Heartbeat slower, heartbeat slower, heartbeat slower
[Chorus]
Voices'll tell me that I should carry on
Voices'll tell me that I should carry on
Voices'll tell me that I should carry on
Voices'll tell me that I should carry on
[Bridge]
I've been baptized in fear, my dear
I've been the chief of sin
Washing my soul within
I've been baptized in fear, my dear
Like Paul, I'm the chief of sin
Washing my soul within, oh
[Pre-Chorus]
Figure in the corner I can't quite see (Quite see)
I just know the shadow's staring at me
It gets closer, it gets closer, it gets closer now
Figure in the corner laughing at me (At me)
Water fill my lungs, vision blurry
Heartbeat slower, heartbeat slower, heartbeat slower
[Chorus]
Voices'll tell me that I should carry on
Voices'll tell me that I should carry on
Voices'll tell me that I should carry on
Voices'll tell me that I should carry on
Voices'll tell me that I should carry on
Voices'll tell me that I should carry on",
"[Part I]
[Verse]
All I have is my legacy
I been losing my memory
No afterlife, no other side
I'm all alone when it fades to black
Fades to black
No afterlife, no other side
I'm all alone when it fades
Play smile, live fully
When life is hard
I know death's easy
Woah
[Part II]
[Verse 1]
Sun is never rising
I don't know if it's day or night (Or night)
And I can't find the horizon (Horizon)
I'm running out of time (Time)
[Pre-Chorus]
Are you real, or are you an illusion?
'Cause I fear your love's my delusion
[Chorus]
Wake me up
, come find me
It feels like I'm dying
Wake me up, these demons
Keep creeping, don't fear 'em
Wake me up
[Post-Chorus]
Ooh, ooh-ooh
[Verse 2]
It's coming to the wire
I'm feeling like I'm paralyzed
Cleanse me with your fire
 (Hey)
Open up my eyes
[Pre-Chorus]
Are you real (Are you real?), or are you an illusion?
'Cause I fear your love's my delusion
[Chorus]
Wake me up, come find me
It feels like I'm dying (Ooh-woah)
Wake me up, these demons (These demons)
Keep creeping (Keep creeping), don't fear 'em (Ooh-woah)
Wake me up, 'cause I'm trying (I'm trying)
This sleep is (This sleep is) paralyzing (Oh)
Wake me up, 'cause I'm dreaming (I'm dreaming)
It feels so (Hey) damn real (Hey)
Wake me up
[Outro]
Oh-oh-oh-oh
Oh-oh-oh",
"[Intro]
Psst, I see dead people
(
Mustard on the beat, ho
)
[Verse 1]
Ayy, Mustard on the beat, ho
Deebo any rap nigga, he a free throw
Man down, call an amberlamps, tell him, ""Breathe, bro""
Nail a nigga to the cross, he walk around like Teezo
What's up with these jabroni-ass niggas tryna see Compton?
The industry can hate me, fuck 'em all and they mama
How many opps you really got? I mean, it's too many options
I'm finna pass on this body, I'm John Stockton
Beat your ass and hide the Bible if God watchin'
Sometimes you gotta pop out and show niggas
Certified boogeyman, I'm the one that up the score with 'em
Walk him down, whole time, I know he got some ho in him
Pole on him, extort shit, bully Death Row on him
Say, Drake, I hear you like 'em young
You better not ever go to cell block one
To any bitch that talk to him and they in love
Just make sure you hide your lil' sister from him
They tell me Chubbs the only one that get your hand-me-downs
And Party at the party playin' with his nose now
And Baka got a weird case, why is he around?
Certified Lover Boy? Certified pedophiles
Wop, wop, wop, wop, wop, Dot, fuck 'em up
Wop, wop, wop, wop, wop, I'ma do my stuff
Why you trollin' like a bitch? Ain't you tired?
Tryna strike a chord and it's probably A minor
[Chorus]
They not like us, they not like us, they not like us
They not like us, they not like us, they not like us
[Verse 2]
You think the Bay gon' let you disrespect Pac, nigga?
I think that Oakland show gon' be your last stop, nigga
Did Cole foul, I don't know why you still pretendin'
What is the owl? Bird niggas and burnt bitches, go
The audience not dumb
Shape the stories how you want, hey, Drake, they're not slow
Rabbit hole is still deep, I can go further, I promise
Ain't that somethin'? B-Rad stands for bitch and you Malibu most wanted
Ain't no law, boy, you ball boy, fetch Gatorade or somethin'
Since 2009, I had this bitch jumpin'
You niggas'll get a wedgie, be flipped over your boxers
What OVO for? The ""Other Vaginal Option""? Pussy
Nigga better straighten they posture, got famous all up in Compton
Might write this for the doctorate,
 
tell the pop star quit hidin'
Fuck a caption, want action, no accident
And I'm hands-on, he fuck around, get polished
Fucked on Wayne girl while he was in jail, that's connivin'
Then get his face tatted like a bitch apologizin'
I'm glad DeRoz' came home, y'all didn't deserve him neither
From Alondra down to Central, nigga better not speak on Serena
And your homeboy need subpoena, that predator move in flocks
That name gotta be registered and placed on neighborhood watch
I lean on you niggas like another line of Wock'
Yeah, it's all eyes on me, and I'ma send it up to Pac, ayy
Put the wrong label on me, I'ma get 'em dropped, ayy
Sweet Chin Music and I won't pass the aux, ayy
How many stocks do I really have in stock? Ayy
One, two, three, four, five, plus five, ayy
Devil is a lie,
 
he a 69 God, ayy
Freaky-ass niggas need to stay they ass inside, ayy
Roll they ass up like a fresh pack of 'za, ayy
City is back up, it's a must, we outside, ayy
[Chorus]
They not like us, they not like us, they not like us
They not like us, they not like us, they not like us
[Verse 3]
Once upon a time, all of us was in chains
Homie still doubled down callin' us some slaves
Atlanta was the Mecca, buildin' railroads and trains
Bear with me for a second, let me put y'all on game
The settlers was usin' townfolk to make 'em richer
Fast-forward, 2024, you got the same agenda
You run to Atlanta when you need a check balance
Let me break it down for you, this the real nigga challenge
You called Future when you didn't see the club (Ayy, what?)
Lil Baby helped you get your lingo up (What?)
21 gave you false street cred
Thug made you feel like you a slime in your head (Ayy, what?)
Quavo said you can be from Northside (What?)
2 Chainz say you good, but he lied
You run to Atlanta when you need a few dollars
No, you not a colleague, you a fuckin' colonizer
The family matter and the truth of the matter
It was God's plan to show y'all the liar
[Bridge]
Mm
Mm-mm
He a fan, he a fan, he a fan (Mm)
He a fan, he a fan, he a
Freaky-ass nigga, he a 69 God
Freaky-ass nigga, he a 69 God
Hey, hey, hey, hey, run for your life
Hey, hey, hey, hey, run for your life
Freaky-ass nigga, he a 69 God
Freaky-ass nigga, he a 69 God
Hey, hey, hey, hey, run for your life
Hey, hey, hey, hey, run for your life
Let me hear you say, ""OV-ho"" (
OV-ho
)
Say, ""OV-ho"" (
OV-ho
)
Then step this way, step that way
Then step this way, step that way
[Outro]
Are you my friend?
Are we locked in?
Then step this way, step that way
Then step this way, step that way",
